"Year","Mean_Max_Temp","Mean_Min_Temp","Mean_Avg_Temp"
2008,1.29772404371585,-7.05371721311475,-3.22997950819672
2009,1.53681095890411,-6.38543698630137,-2.84756438356164
2010,2.34466849315069,-5.93219178082192,-2.2711397260274
2011,1.49883150684931,-6.99107671232877,-3.16272739726027
2012,3.7245368852459,-4.79206967213115,-0.917713114754098
2013,0.303350684931507,-7.16038493150685,-3.70517260273973
2014,1.64750410958904,-6.18789863013699,-2.62448831780822
2015,3.09940273972603,-4.86564109589041,-1.41027879452055
2016,2.81496174863388,-5.37407650273224,-1.75533316939891
2017,3.24418356164384,-5.00268493150685,-1.38896846575342
2018,2.74418630136986,-5.38295342465753,-1.68460843835616
